鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
新屋區,房地(土地+建物),桃園市新屋區校前一街122巷1~30號,75.54,住,,,1070402,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061023,202.07,4,3,4,有,無,10000000,49488,,0.0,0,,RPSOMLKLOHNFFDH68CA
新屋區,房地(土地+建物),桃園市新屋區校前一街122巷1~30號,75.54,住,,,1070419,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061023,202.07,4,3,4,有,無,11500000,56911,,0.0,0,,RPTOMLKLOHNFFDH78CA
楊梅區,房地(土地+建物),桃園市楊梅區楊湖路一段676巷33弄271~300號,66.62,,特定農業區,丁種建築用地,1070426,土地1建物1車位0,全,三層,透天厝,工業用,鋼筋混凝土造,0830304,149.28,4,2,3,有,無,4300000,28805,,0.0,0,,RPROMLTKOHNFFDH76CA
蘆竹區,土地,坑子外段山腳小段181~210地號,202.5,,鄉村區,乙種建築用地,1070417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9188437,45375,,0.0,0,,RPOPMLPLNHNFFEH88CA
大園區,房地(土地+建物),桃園市大園區領航北路四段135巷1~30號,80.18,,特定農業區,甲種建築用地,1070313,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960822,195.38,4,2,3,有,有,11200000,57324,,0.0,0,,RPUNMLOLNHNFFEH56CA
蘆竹區,房地(土地+建物),桃園市蘆竹區富國路二段755巷91~120號,89.15,農,,,1070417,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070111,263.4,6,2,4,有,有,14500000,55049,,0.0,0,建商與地主合建案。交易總價由建商提供買賣契約書。一樓有附屬停車空間。,RPVNMLOLNHNFFEH66CA
蘆竹區,車位,桃園市蘆竹區南昌路31~60號,0.0,,,,1070511,土地0建物0車位1,,,其他,,,,28.98,0,0,0,有,有,1500000,,坡道平面,28.98,1500000,,RPUNMLPLNHNFFEH66CA
蘆竹區,房地(土地+建物),桃園市蘆竹區大竹路269巷1弄1~30號,47.79,其他,,,1070421,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0811103,114.3,3,2,2,有,無,3800000,33246,,0.0,0,,RPXNMLPLNHNFFEH96CA
大園區,房地(土地+建物),桃園市大園區中山北路301~330號,1416.97,,工業區,丁種建築用地,1070319,土地3建物1車位0,一層,一層,工廠,見其他登記事項,見其他登記事項,0881023,437.2,1,1,1,有,無,80500000,,,0.0,0,,RPQNMLSLNHNFFEH56CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區竹中街61~90號,25.47,住,,,1070422,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010831,158.88,3,1,2,有,有,8500000,53499,坡道平面,36.51,0,,RPQQMLPLNHNFFEH56CA
