鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
信義區,建物,臺北市信義區松山路540巷3弄1~30號,0.0,住,,,1070513,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811009,134.92,5,2,2,有,有,有,35000,259,,0.0,0,,RPPOMLLLNHNFFDA87CC
信義區,建物,臺北市信義區忠孝東路五段31巷18弄1~30號,0.0,住,,,1070504,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970918,73.38,2,2,1,有,無,有,40760,555,,0.0,0,,RPTOMLLLNHNFFDA28CC
信義區,建物,臺北市信義區忠孝東路五段31巷18弄1~30號,0.0,住,,,1070504,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970918,73.38,2,2,1,有,無,有,40760,555,,0.0,0,,RPUOMLLLNHNFFDA38CC
大安區,建物,臺北市大安區大安路一段106巷1~30號,0.0,住,,,1070430,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721130,179.17000000000002,4,2,2,有,有,有,56000,313,,0.0,0,,RPPNMLLLNHNFFFA97CC
大安區,建物,臺北市大安區光復南路240巷31~60號,42.72,住,,,1070413,土地0建物1車位0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,,117.11,0,0,0,無,有,無,170280,1454,,0.0,0,,RPUNMLLLNHNFFFA48CC
大安區,建物,臺北市大安區信義路四段361~390號,0.0,,,,1070510,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001027,267.4,4,2,3,有,有,有,115000,430,,0.0,0,,RPWOMLLLNHNFFFA78CC
大安區,建物,臺北市大安區和平東路二段308巷31~60號,0.0,住,,,1070511,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,114.05,2,2,2,有,無,有,29000,254,,0.0,0,,RPQPMLLLNHNFFFA28CC
大安區,建物,臺北市大安區延吉街62巷6弄1~30號,0.0,住,,,1070510,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760430,148.04,3,2,2,有,無,有,57082,386,,0.0,0,,RPRPMLLLNHNFFFA38CC
大安區,房地(土地+建物),臺北市大安區安和路一段90巷31~60號,108.05,住,,,1070516,土地1建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0690725,108.05,0,0,0,無,無,無,100000,925,,0.0,0,,RPTPMLLLNHNFFFA58CC
大安區,建物,臺北市大安區辛亥路二段171巷1~30號,0.0,住,,,1070520,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,193.03,3,2,2,有,無,有,60000,311,,0.0,0,,RPWPMLLLNHNFFFA88CC
士林區,建物,臺北市士林區天玉街38巷16弄1~30號,0.0,住,,,1070502,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0530624,357.92,0,0,0,無,無,無,273000,763,,0.0,0,1、2樓營業使用,RPUNMLLLNHNFFEA38CC
