編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPPSMLKMNHNFFBB18CC,5,27.23,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPWOMLKMNHNFFCB58CC,7,195.14,見其他登記事項,見其他登記事項,99年11月26日,四層,
RPUPMLKMNHNFFCB48CC,9,18.99,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTPMLKMNHNFFCB38CC,9,41.83,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPTPMLKMNHNFFCB38CC,9,3.45,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPTPMLKMNHNFFCB38CC,9,16.44,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVPMLLMNHNFFCB68CC,28,88.11,住家用,鋼筋混凝土造,79年11月10日,六層,
RPVPMLLMNHNFFCB68CC,28,3.59,共有部分,鋼筋混凝土造,79年11月10日,六層,
RPVPMLKMNHNFFCB58CC,9,41.66,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPVPMLKMNHNFFCB58CC,9,3.45,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPVPMLKMNHNFFCB58CC,9,16.44,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPWPMLLMNHNFFCB78CC,12,82.34,住家用,鋼筋混凝土造,95年8月25日,十五層,
RPWPMLLMNHNFFCB78CC,12,6.68,住家用,鋼筋混凝土造,95年8月25日,十五層,
RPWPMLLMNHNFFCB78CC,12,5.88,住家用,鋼筋混凝土造,95年8月25日,十五層,
RPWPMLLMNHNFFCB78CC,12,35.22,見其他登記事項,鋼筋混凝土造,95年8月25日,十五層,
RPWNMLLMNHNFFBB48CC,1,48.64,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPWNMLLMNHNFFBB48CC,1,16.94,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPWNMLLMNHNFFBB48CC,1,46.63,見其他登記事項,鋼筋混凝土造,106年4月20日,二十八層,
RPPOMLLMNHNFFBB87CC,23,41.50,住家用,鋼筋混凝土造,84年1月27日,八層,
RPPOMLLMNHNFFBB87CC,23,26.90,共有部份,鋼筋混凝土造,84年1月27日,八層,
RPTNMLLMNHNFFBB18CC,20,88.14,住家用,鋼筋混凝土造,87年11月11日,十四層,
RPTNMLLMNHNFFBB18CC,20,28.14,共有部份,鋼筋混凝土造,87年11月11日,十四層,
RPUPMLLMNHNFFBB48CC,23,17.08,住家用,鋼筋混凝土造,84年1月27日,八層,
RPUPMLLMNHNFFBB48CC,23,6.50,共有部份,鋼筋混凝土造,84年1月27日,八層,
RPVOMLLMNHNFFAB38CC,18,84.17,住家用,鋼筋混凝土造,88年12月18日,十四層,
RPVOMLLMNHNFFAB38CC,18,7.33,共有部份,鋼筋混凝土造,88年12月18日,十四層,
RPVOMLLMNHNFFAB38CC,18,21.53,共有部份,鋼筋混凝土造,88年12月18日,十四層,
RPQNMLKMNHNFFKB68CC,36,74.71,住家用,鋼筋混凝土造,71年8月15日,四層,
RPRNMLKMNHNFFKB78CC,39,97.80,住家用,加強磚造,68年7月19日,二層,
